NewDataLabel,OldDataLabel,Diff
Load_BR2PlugLoadsPowerUsage,Load_BR2PlugLoadsPowerUsage,
Load_BR3PlugLoadsEnergyUsage,Load_BR3PlugLoadsExpectedEnergyUsage,Yes
Load_BR3PlugLoadsPowerUsage,Load_BR3PlugLoadsPowerUsage,
Load_BR4PlugLoadsEnergyUsage,Load_BR4PlugLoadsExpectedEnergyUsage,Yes
Load_BR4PlugLoadsPowerUsage,Load_BR4PlugLoadsPowerUsage,
Load_ClothesWasherEnergywithStandby,Load_ClothesWasherEnergywithStandby,
Load_ClothesWasherPowerWithStandby,Load_ClothesWasherPowerWithStandby,
Load_DryerEnergyTotal,Load_DryerEnergyTotal,
Load_DryerPowerTotal,Load_DryerPowerTotal,
Load_RefrigeratorTemp,Load_FreezerTemp,Yes
Load_KPlugLoadsEnergyUsage,Load_KPlugLoadsEnergyUsage,
Load_KPlugLoadsPowerUsage,Load_KPlugLoadsPowerUsage,
Load_LatentHeatEnergyUsage,Load_LatentHeatEnergyUsage,
Load_LatentHeatPowerUsage,Load_LatentHeatPowerUsage,
Load_LatentHeatWaterVolume,Load_LatentHeatWaterVolume,
Load_LRPlugLoadsEnergyUsage,Load_LRPlugLoadsEnergyUsage,
Load_LRPlugLoadsPowerUsage,Load_LRPlugLoadsPowerUsage,
Load_MBRPlugLoadsEnergyUsage,Load_MBRPlugLoadsEnergyUsage,
Load_MBRPlugLoadsPowerUsage,Load_MBRPlugLoadsPowerUsage,
Load_MicrowaveEnergywithStandby,Load_MicrowaveEnergywithStandby,
Load_MicrowavePowerWithStandby,Load_MicrowavePowerWithStandby,
Load_OvenEnergyTotal,Load_OvenEnergyTotal,
Load_OvenPowerTotal,Load_OvenPowerTotal,
Load_RefrigeratorEnergywithStandby,Load_RefrigeratorEnergywithStandby,
Load_RefrigeratorPowerWithStandby,Load_RefrigeratorPowerWithStandby,
Load_StatusApplianceCooktop,Load_StatusApplianceCooktop,
Load_StatusApplianceDishwasher,Load_StatusApplianceDishwasher,
Load_StatusApplianceOven,Load_StatusApplianceOven,
Load_StatusApplianceRangeHood,Load_StatusApplianceRangeHood,
Load_StatusLatentload,Load_StatusLatentload,
Load_StatusPlugLoadBlender,Load_StatusPlugLoadBlender,
Load_StatusPlugLoadBR2Laptop,Load_StatusPlugLoadBR2Laptop,
Load_StatusPlugLoadBR3Laptop,Load_StatusPlugLoadBR3Laptop,
Load_StatusPlugLoadCanOpener,Load_StatusPlugLoadCanOpener,
Load_StatusPlugLoadCoffeeMaker,Load_StatusPlugLoadCoffeeMaker,
Load_StatusPlugLoadDesktopPCMonitor,Load_StatusPlugLoadDesktopPCMonitor,
Load_StatusPlugLoadFan,Load_StatusPlugLoadFan,
Load_StatusPlugLoadHairDryerCurlIron,Load_StatusPlugLoadHairDryerCurlIron,
Load_StatusPlugLoadHandMixer,Load_StatusPlugLoadHandMixer,
Load_StatusPlugLoadHeatingPad,Load_StatusPlugLoadHeatingPad,
Load_StatusPlugLoadIron,Load_StatusPlugLoadIron,
Load_StatusPlugLoadLRBlueRay,Load_StatusPlugLoadLRBlueRay,
Load_StatusPlugLoadLRTV,Load_StatusPlugLoadLRTV,
Load_StatusPlugLoadMBRBlueRay,Load_StatusPlugLoadMBRBlueRay,
Load_StatusPlugLoadMBRTV,Load_StatusPlugLoadMBRTV,
Load_StatusPlugLoadSlowCooker,Load_StatusPlugLoadSlowCooker,
Load_StatusPlugLoadToaster,Load_StatusPlugLoadToaster,
Load_StatusPlugLoadToasterOven,Load_StatusPlugLoadToasterOven,
Load_StatusPlugLoadVacuum,Load_StatusPlugLoadVacuum,
Load_StatusPlugLoadVideoGame,Load_StatusPlugLoadVideoGame,
Load_StatusBR4Lights,Load_StatusRPS10BR4LightsRPBA32,Yes
Load_StatusMBALights,Load_StatusRPS14MBALightsRPBA2,Yes
Load_StatusMBRLights1,Load_StatusRPS15MBRLightsRPBA2,Yes
Load_StatusMBRLights2,Load_StatusRPS16MBRLightsRPBA2,Yes
Load_StatusBA2Lights,Load_StatusRPS17BA2LightsRPBA2,Yes
Load_StatusBR2Lights,Load_StatusRPS18BR2LightsRPBA2,Yes
Load_StatusBA1Lights,Load_StatusRPS1BA1LightsRPBA34,Yes
Load_StatusBR3Lights,Load_StatusRPS20BR3LightsRPBA2,Yes
Load_StatusSensHeatPrntBDOWN,Load_StatusRPS22SensHeatPrntBDOWNRPBB39,Yes
Load_StatusSensHeatPrntAUP,Load_StatusRPS23SensHeatPrntAUPRPBB23,Yes
Load_StatusKitchenLightsA,Load_StatusRPS2KitchenLightsARPBA34,Yes
Load_StatusSensHeatPrntBUP,Load_StatusRPS31SensHeatPrntBUPRPBB34,Yes
Load_StatusSensHeatChildAUP,Load_StatusRPS32SensHeatChildAUPRPBB27,Yes
Load_StatusSensHeatChildBUP,Load_StatusRPS35SensHeatChildBUPRPBB28,Yes
Load_StatusKitchenLightsB,Load_StatusRPS3KitchenLightsBRPBA34,Yes
Load_StatusSensHeatChildBDOWN,Load_StatusRPS40SensHeatChildBDOWNRPBB11,Yes
Load_StatusLRLights1,Load_StatusRPS47LRLightsRPBA32,Yes
Load_StatusSensHeatPrntADOWN,Load_StatusRPS49SensHeatPrntADOWNRPBB8,Yes
Load_StatusSensHeatChildADOWN,Load_StatusRPS53SensHeatChildADOWNRPBB15,Yes
Load_StatusKitchenLightsC,Load_StatusRPS5KitchenLightsCRPBA34,Yes
Load_StatusLRLights2,Load_StatusRPS62LRLightsRPBA32,Yes
Load_StatusDRLights,Load_StatusRPS7DRLightsRPBA34,Yes
Load_StatusLRLights3,Load_StatusRPS8LRLightsRPBA32,Yes
Load_StatusEntryHallLights,Load_StatusRPS9EntryHallLightsRPBA32,Yes
OutEnv_OutdoorAmbTemp,OutEnv_OutdoorAmbTemp,
OutEnv_RooftopWindDirection,OutEnv_RooftopWindDirection,
OutEnv_RooftopWindSpeed,OutEnv_RooftopWindSpeed,
Elec_EnergyPV1of2,Elec_EnergyRPB33PV1of2,Yes
Elec_EnergyPV2of2,Elec_EnergyRPB35PV2of2,Yes
Elec_PowerPV1of2,Elec_PowerRPB33PV1of2,Yes
Elec_PowerPV2of2,Elec_PowerRPB35PV2of2,Yes
PV_AmpsAIA1,PV_AmpsAIA1,
PV_AmpsAIA2,PV_AmpsAIA2,
PV_AmpsBIB1,PV_AmpsBIB1,
PV_AmpsBIB2,PV_AmpsBIB2,
PV_FrequencyF1,PV_FrequencyF1,
PV_FrequencyF2,PV_FrequencyF2,
PV_PowerFactor3PhTotalPF3PhT1,PV_PowerFactor3PhTotalPF3PhT1,
PV_PowerFactor3PhTotalPF3PhT2,PV_PowerFactor3PhTotalPF3PhT2,
PV_PVBacksideTemp2,PV_PVBacksideTemp2,
PV_PVBacksideTemp3,PV_PVBacksideTemp3,
PV_PVBacksideTemp4,PV_PVBacksideTemp4,
PV_PVBacksideTemp7,PV_PVBacksideTemp7,
PV_PVInsolationHArray,PV_PVInsolationHArray,
PV_PVSystem1ACEnergyOSEACPV1OS,PV_PVSystem1ACEnergyOSEACPV1OS,
PV_PVSystem1ACPowerOSPACPV1OS,PV_PVSystem1ACPowerOSPACPV1OS,
PV_PVSystem2ACEnergyOSEACPV2OS,PV_PVSystem2ACEnergyOSEACPV2OS,
PV_PVSystem2ACPowerOSPACPV2OS,PV_PVSystem2ACPowerOSPACPV2OS,
PV_StringCurrentIStr1,PV_StringCurrentIStr1,
PV_StringCurrentIStr2,PV_StringCurrentIStr2,
PV_StringCurrentIStr3,PV_StringCurrentIStr3,
PV_StringCurrentIStr4,PV_StringCurrentIStr4,
PV_StringVoltageUStr2,PV_StringVoltageUStr2,
PV_StringVoltageUStr4,PV_StringVoltageUStr4,
PV_VoltsANUAN1,PV_VoltsANUAN1,
PV_VoltsANUAN2,PV_VoltsANUAN2,
PV_VoltsBNUBN1,PV_VoltsBNUBN1,
PV_VoltsBNUBN2,PV_VoltsBNUBN2,
PV_Watts3PhTotalW3PhT1,PV_Watts3PhTotalW3PhT1,
PV_Watts3PhTotalW3PhT2,PV_Watts3PhTotalW3PhT2,
PV_WhoursDeliveredWhD1,PV_WhoursDeliveredWhD1,
